fecha,temp_max,temp_min,temp_media,precipitacion
2017-10-03,"26,6","14,49","21,01","0,15"
2017-10-04,"26,8","14,17","20,94","0,03"
2017-10-05,"27,03","13,69","20,82","0,04"
2017-10-06,"25,81","12,66","19,69","0,08"
2017-10-07,"24,63","10,69","18,09","0,2"
2017-10-08,"25,5","10,35","18,33","0,0"
2017-10-09,"25,38","10,1","18,16","0,02"
2017-10-10,"25,8","10,37","18,52","0,01"
2017-10-11,"26,19","10,83","18,94","0,01"
2017-10-12,"27,08","11,94","19,96","0,0"
2017-10-13,"27,54","13,06","20,75","0,0"
2017-10-14,"27,56","13,33","20,88","0,01"
2017-10-17,"22,2","12,87","17,99","2,46"
2017-10-18,"18,27","11,63","15,41","12,13"
2017-10-19,"18,13","9,92","14,48","5,59"
2017-10-20,"21,77","11,84","17,26","0,48"
2017-10-21,"21,27","11,37","16,77","0,63"
2017-10-22,"19,44","9,42","14,84","0,51"
2017-10-23,"21,75","8,41","15,45","0,07"
2017-10-24,"24,64","9,39","17,45","0,0"
2017-10-25,"25,64","9,99","18,25","0,0"
2017-10-26,"25,78","10,66","18,67","0,0"
2017-10-27,"25,2","10,76","18,44","0,01"
2017-10-28,"22,37","10,82","17,05","0,02"
2017-10-29,"21,29","8,81","15,46","0,16"
2017-10-30,"19,89","8,42","14,58","0,69"
2017-10-31,"19,74","7,7","14,06","0,07"
2017-11-01,"20,46","8,8","15,04","0,08"
2017-11-02,"19,57","10,96","15,71","1,63"
2017-11-03,"19,19","10,61","15,36","4,52"
2017-11-04,"17,28","10,57","14,37","7,91"
2017-11-05,"15,94","8,58","12,7","3,28"
2017-11-06,"14,7","6,42","10,92","1,28"
2017-11-07,"16,13","4,88","10,56","0,89"
2017-11-08,"14,75","5,26","10,26","3,03"
2017-11-09,"13,45","5,41","9,48","1,8"
2017-11-10,"15,79","5,55","10,87","1,58"
2017-11-11,"17,54","6,95","12,61","0,39"
2017-11-12,"18,32","6,86","12,85","0,59"
2017-11-13,"15,05","6,05","10,83","0,56"
2017-11-14,"14,67","4,66","9,53","0,01"
2017-11-17,"18,21","4,93","11,68","0,02"
2017-11-18,"17,71","5,2","11,58","0,0"
2017-11-19,"17,64","5,12","11,14","0,02"
2017-11-20,"18,82","5,09","11,72","0,0"
2017-11-21,"19,13","5,47","12,03","0,0"
2017-11-22,"19,05","5,68","12,16","0,41"
2017-11-23,"19,12","8,19","14,07","0,59"
2017-11-24,"18,49","9,02","14,2","2,71"
2017-11-25,"15,81","7,08","11,85","2,75"
2017-11-26,"14,17","6,05","9,88","0,35"
2017-11-27,"14,35","5,63","9,17","0,04"
2017-11-28,"13,63","6,16","9,3","2,56"
2017-11-29,"11,8","5,83","8,44","7,75"
2017-11-30,"10,41","4,44","6,48","1,9"
2017-12-01,"9,62","3,77","5,72","4,57"
2017-12-02,"8,7","3,93","5,08","2,3"
2017-12-03,"9,68","4,16","5,4","0,75"
2017-12-04,"11,6","4,1","6,46","0,26"
2017-12-05,"12,18","4,33","6,6","0,01"
2017-12-06,"11,97","4,59","6,31","0,01"
2017-12-07,"12,74","4,24","7,41","0,76"
2017-12-08,"13,23","4,42","8,94","2,72"
2017-12-09,"13,17","6,4","10,06","1,35"
2017-12-10,"14,11","7,76","11,34","8,79"
2017-12-11,"13,07","4,8","9,24","13,29"
2017-12-12,"10,05","3,52","6,4","1,81"
2017-12-13,"11,5","3,64","6,9","0,68"
2017-12-14,"13,29","6,1","10,08","2,63"
2017-12-17,"10,31","3,69","6,35","0,78"
2017-12-18,"11,39","3,61","6,81","1,27"
2017-12-19,"12,31","3,93","8,03","0,43"
2017-12-20,"12,44","3,64","7,55","0,17"
2017-12-21,"13,72","3,85","8,66","0,09"
2017-12-22,"13,81","3,82","8,73","0,04"
